가	G A
나갔어요	N A G A SS EO iO
나누는	N A N U N EU N
나는	N A N EU N
나니	N A N I
나도	N A D O
나뭇잎	N A M U S I M
나뭇잎	N A M U S I Ph
나뭇잎	N A M U S I p
나세요	N A S E iO
나중에	N A J U NG E
나타난	N A Th A N A N
날	N A L
날씨가	N A L SS I G A
낮아요	N A J A iO
내	N AE
내가	N AE G A
내용을	N AE iO NG EU L
내용이었다	N AE iO NG I EO t D A
내용이었다	N AE iO NG I EO t DD A
내일	N AE I N
내일	N AE I R
냄새	N AE M S AE
냄새를	N AE M S AE R EU L
너	N EO
너무	N EO M U
넣어요	N EO EO iO
년	N iEO N
노력	N O R iEO k
노력을	N O R iEO G EU L
노화	N O oA
녹기	N O k GG I
녹색	N O k SS AE Kh
녹색	N O k SS AE k
누가	N U G A
누구나	N U G U N A
누구하고	N U G U A G O
늙어가는	N EU L G EO G A N EU N
늦게	N EU t GG E
늦었어	N EU J EO SS EO
늦었어요	N EU J EO SS EO iO
늦으시면	N EU J EU S I M iEO N
니	N I
다	D A
다	Th A
다녀	D A N iEO
다니는	D A N I N EU N
다니니	D A N I N I
다르다는	D A R EU D A N EU N
다른	D A R EU N
다섯	D A S EO t
다시	D A S I
다음	D A EU M
다행히도	D A AE NG H I D O
닫는	D A N N EU N
닫아	D A D A
닫히다	D A Th I D A
닫히다	Th A Th I D A
달콤한	D A L Kh O M H A N
닮았어요	D A L M A SS EO iO
당장	D A NG J A NG
대단하네요	D AE D A N A N E iO
대상의	D AE S A NG euI
대학	D AE A G
대학	D AE A NG
대학	D AE A k
대한	D AE A N
대해	D AE AE
더	D EO
더	Th EO
더워요	D EO uEO iO
데	D E
도착했어요	D O CHh A Kh AE SS EO iO
독감에	D O k GG A M E
독려해	D O NG N iEO AE
독이	D O G I
돈은	D O N EU N
동안	D O NG A N
동창들과	D O NG CHh A NG D EU L G oA
돼요	D O AE iO
되게	D OE G E
되는	D OE N EU N
되는데	D OE N EU N D E
되어	D OE EO
되지	D OE J I
된다고	D OE N D A G O
될	D OE L
될까요	D OE L GG A iO
됩니다	D OE M N I D A
두부	D U B U
뒷골목	D UE t GG O L M O k
뒷일은	D UE S I R EU N
드세요	D EU S E iO
드세요	Th EU S E iO
드실	D EU S I L
드실	D EU S I N
듣고	D EU t GG O
듣기가	D EU t GG I G A
듣기에서부터	D EU t GG I E S EO B U Th EO
듣기와	D EU t GG I oA
듣는다	D EU N N EU N D A
들면	D EU L M iEO N
들어요	D EU R EO iO
들었는데	D EU R EO N N EU N D E
들었다	D EU R EO t D A
들었다	D EU R EO t DD A
들으면	D EU R EU M iEO N
듯이	D EU S I
등	D EU NG
등록금에	D EU NG N O k GG EU M E
따뜻하지요	D A DD EU Th A J I iO
따뜻하지요	DD A DD EU Th A J I iO
따라	D A R A
따라	DD A R A
따라서	D A R A S EO
따라서	DD A R A S EO
딱	D A G
딱	D A Kh
딱	D A k
딱	DD A k
딸	D A L
딸	D A N
딸	D A R
딸	DD A L
딸과	D A L G oA
딸과	DD A L G oA
딸이	DD A R I
때	D AE
때	DD AE
때는	DD AE N EU N
때문이다	D AE M U N I D A
떨어져	DD EO R EO J iEO
또	D O
또	DD O
뛰어서	DD UE EO S EO
뛴다	D UE N D A
뛴다	DD UE N D A
뜻하는	DD EU Th A N EU N
라디오에서	R A D I O E S EO
라디오의	R A D I O euI
라면	L A M iEO N
라면	R A M iEO N
라면이	R A M iEO N I
마시기를	M A S I G I R EU L
마시기를	M A S I G I R EU N
마시기를	M A S I G I R EU R
마음에	M A EU M E
마치	M A CHh I
막	M A G
막	M A Kh
막	M A NG
막	M A k
막혀	M A Kh iEO
막히나	M A Kh I N A
만드는	M A N D EU N EU N
만들고	M A N D EU L G O
많고	M A N Kh O
많은	M A N EU N
많을	M A N EU L
많이	M A N I
맏이	M A D I
말소리를	M A L S O R I R EU L
말씀을	M A L SS EU M EU L
말씀해	M A L SS EU M H AE
말을	M A R EU L
말을	M A R EU R
말하기와	M A R H A G I oA
말해	M A R H AE
맑게	M A k GG E
맛있다	M A S I t DD A
매우	M AE U
맥락	M AE NG N A G
맥락	M AE NG N A k
머리카락을	M EO R I Kh A R A G EU L
머리카락을	M EO R I Kh A R A G EU R
먹던	M EO k DD EO N
먹어라	M EO G EO R A
먹어요	M EO G EO iO
먹었어요	M EO G EO SS EO iO
먹을걸	M EO G EU L G EO L
먹을걸	M EO G EU L G EO R
먼저	M EO N J EO
멈추고	M EO M CHh U G O
며칠	M iEO CHh I L
면역력	M iEO N iEO NG N iEO Kh
면역력	M iEO N iEO NG N iEO k
명이에요	M iEO NG I E iO
몇	M iEO CHh
몇	M iEO N
몇	M iEO S
몇	M iEO t
모두	M O D U
몰랐는데	M O L L A N N EU N D E
몸	M O M
못	M O N
못	M O t
못하겠습니다	M O Th A G E S SS EU M N I D A
못하고	M O Th A G O
못한다면	M O Th A N D A M iEO N
못했다	M O Th AE t DD A
무늬	M U N euI
무릎	M U R EU p
무슨	M U S EU N
무엇인지	M U EO S I N J I
문	M U N
문안	M U N A N
문을	M U N EU L
문제입니다	M U N J E I M N I D A
문화와	M U N oA oA
묻고	M U t GG O
물이	M U R I
물줄기에서	M U L J U L G I E S EO
물하고	M U R H A G O
뭐라고	M uEO R A G O
뭔지	M uEO N J I
미리	M I R I
미안	M I A N
믿고	M I t GG O
및	M I CHh
및	M I N
및	M I S
및	M I t
바꾸다	B A GG U D A
바다의	B A D A euI
바람	B A R A M
바람도	B A R A M D O
바람에	B A R A M E
바람직하지	B A R A M J I Kh A J I
바랍니다	B A R A M N I D A
바빠서	B A BB A S EO
바쁘다	B A BB EU D A
바퀴	B A Kh UE
밖으로	B A GG EU R O
밖은	B A GG EU N
반면	B A N M iEO N
반찬	B A N CHh A N
받아들이고	B A D A D EU R I G O
받았다	B A D A t D A
발	B A L
발	B A R
발등	B A L D EU NG
발을	B A R EU L
발자국도	B A L J A G U k DD O
밥	B A M
밥	B A p
방	B A NG
방송	B A NG S O NG
방송을	B A NG S O NG EU L
방에서	B A NG E S EO
방지	B A NG J I
배고파요	B AE G O Ph A iO
배우고	B AE U G O
백	B AE G
백	B AE Kh
백	B AE NG
백	B AE k
백화점을	B AE Kh oA J EO M EU L
법원	B EO B uEO N
벽에	B iEO G E
별일	B iEO R I L
별일	B iEO R I N
별일	B iEO R I R
병원	B iEO NG uEO N
병을	B iEO NG EU L
병의	B iEO NG euI
보고	B O G O
보니	B O N I
보라색	B O R A S AE G
보라색	B O R A S AE Kh
보라색	B O R A S AE NG
보라색	B O R A S AE k
보려고	B O R iEO G O
보셨어요	B O S iEO SS EO iO
보자기	B O J A G I
보통	B O Th O NG
복잡한	B O k JJ A Ph A N
볼게요	B O L G E iO
봄	B O M
봐	B oA
봐요	B oA iO
봤는데	B oA N N EU N D E
부는	B U N EU N
부럽지	B U R EO p JJ I
부모님	B U M O N I M
부부	B U B U
부산	B U S A N
부엌	B U EO Kh
부엌에	B U EO Kh E
분	B U N
분류가	B U N N iU G A
분류와	B U N N iU oA
분석에	B U N S EO G E
분석의	B U N S EO G euI
분석인	B U N S EO G I N
분에	B U N E
분위기가	B U N UE G I G A
분이	B U N I
불고기	B U L G O G I
불만이	B U L M A N I
불부터	B U L B U Th EO
불안에	B U R A N E
불을	B U R EU L
붙어	B U Th EO
붙이세요	B U Th I S E iO
비	B I
비빔밥	B I B I M B A p
빌려줄	B I L L iEO J U L
빛을	B I CHh EU L
빠를수록	B A R EU L S U R O k
빠를수록	BB A R EU L S U R O k
빠졌네	BB A J iEO N N E
빠졌네요	BB A J iEO N N E iO
빨간색	BB A L G A N S AE k
빨래	BB A L L AE
빨리	BB A L L I
빵	B A NG
빵	BB A NG
뿌리	BB U R I
사과	S A G oA
사람	S A R A M
사람들은	S A R A M D EU R EU N
사람들이	S A R A M D EU R I
사람이	S A R A M I
사랑한다	S A R A NG H A N D A
사러	S A R EO
사연을	S A iEO N EU L
사연이었다	S A iEO N I EO t D A
사연이었다	S A iEO N I EO t DD A
사용하는	S A iO NG H A N EU N
사의	S A euI
사진을	S A J I N EU L
살고	S A L G O
살아간다	S A R A G A N D A
살이	S A R I
살펴볼까요	S A L Ph iEO B O L GG A iO
삶을	S A L M EU L
삼십	S A M S I B
삼십	S A M S I M
삼십	S A M S I p
상금	S A NG G EU M
상태를	S A NG Th AE R EU L
상황에	S A NG H oA NG E
새	S AE
새로	S AE R O
새로운	S AE R O U N
색깔을	S AE k GG A R EU L
색깔을	S AE k GG A R EU N
색깔을	S AE k GG A R EU R
색을	S AE G EU L
색종이	S AE k JJ O NG I
생각	S AE NG G A k
생각하고	S AE NG G A Kh A G O
생각하며	S AE NG G A Kh A M iEO
생각한다	S AE NG G A Kh A N D A
생긴	S AE NG G I N
생활이	S AE NG H oA R I
서	S EO
서둘렀을	S EO D U L L EO SS EU L
서영이의	S EO iEO NG I euI
선생님이	S EO N S AE NG N I M I
설정하느냐	S EO L J EO NG H A N EU N iA
성장했습니다	S EO NG J A NG H AE S SS EU M N I D A
성질로	S EO NG J I L L O
세수	S E S U
소리	S O R I
소리를	S O R I R EU L
수	S U
수가	S U G A
수고하다	S U G O A D A
수도	S U D O
수리	S U R I
수업	S U EO M
수업	S U EO p
수업료가	S U EO M N iO G A
수업에	S U EO B E
수업이	S U EO B I
숙소	S U k SS O
술집에서	S U L J I B E S EO
쉬다	S UE D A
쉴	S UE L
쉽지	S UE p JJ I
시	S I
시계	S I G iE
시까지	S I GG A J I
시냇물	S I N AE N M U L
시달리고	S I D A L L I G O
시에	S I E
시작	S I J A G
시작	S I J A Kh
시작	S I J A NG
시작	S I J A k
시작한다고	S I J A Kh A N D A G O
시작해요	S I J A Kh AE iO
시장에	S I J A NG E
시험	S I EO M
식당에	S I k DD A NG E
신고	S I N G O
신체	S I N CHh E
실내	S I N N AE
실력	S I L L iEO k
실수하지	S I L S U A J I
심각하게	S I M G A Kh A G E
십만	S I M M A N
싱싱하다	S I NG S I NG H A D A
싶다	S I p DD A
싶습니다	S I p SS EU M N I D A
싶어졌다	S I Ph EO J iEO t DD A
싸다	SS A D A
써	S EO
써	SS EO
써주시기	SS EO J U S I G I
쏙	S O Kh
쏙	S O NG
쏙	SS O G
쏙	SS O Kh
쏙	SS O NG
쏙	SS O k
쏟아요	SS O D A iO
쓰기	SS EU G I
아니라	A N I R A
아니야	A N I iA
아름다운	A R EU M D A U N
아무것도	A M U G EO t DD O
아버지와	A B EO J I oA
아세요	A S E iO
아시는지요	A S I N EU N J I iO
아이스크림	A I S EU Kh EU R I M
아주	A J U
아직	A J I G
아직	A J I Kh
아직	A J I NG
아직	A J I k
아직도	A J I k DD O
아침을	A CHh I M EU L
아침의	A CHh I M euI
아홉	A O M
아홉	A O p
안	A N
안녕하세요	A N N iEO NG H A S E iO
안에서	A N E S EO
앉고	A N G O
앉아서	A N J A S EO
않겠지만	A N Kh E t JJ I M A N
않고	A N Kh O
않는다	A N N EU N D A
않으면	A N EU M iEO N
않으셨어요	A N EU S iEO SS EO iO
않을	A N EU L
않을까	A N EU L GG A
알았다면	A R A t DD A M iEO N
앓더니	A L D EO N I
앓더니	A L DD EO N I
앓더니	A L Th EO N I
앞으로	A Ph EU R O
야구	iA G U
약국	iA k GG U k
약이	iA G I
어디	EO D I
어디로	EO D I R O
어디에서	EO D I E S EO
어때요	EO DD AE iO
어떡하죠	EO DD EO Kh A CHh iO
어떡하죠	EO DD EO Kh A J iO
어떤	EO DD EO N
어떻게	EO DD EO Kh E
어머니	EO M EO N I
어머니의	EO M EO N I euI
언니	EO N N I
언제	EO N J E
언제든지	EO N J E D EU N J I
얼굴	EO L G U L
얼굴	EO L G U R
얼굴이	EO L G U R I
얽혀	EO Kh iEO
엄마가	EO M M A G A
엄마와	EO M M A oA
엄마하고	EO M M A A G O
업무에	EO M M U E
없는	EO M N EU N
없는데	EO M N EU N D E
없다	EO p DD A
없었습니다	EO p SS EO S SS EU M N I D A
없었어요	EO p SS EO SS EO iO
없으면	EO p SS EU M iEO N
없을	EO p SS EU L
없을까요	EO p SS EU L GG A iO
없지만	EO p JJ I M A N
여권	iEO G uEO N
여기	iEO G I
여기까지	iEO G I GG A J I
여덟	iEO D EO L B
여덟	iEO D EO M
여덟	iEO D EO p
여러	iEO R EO
여러분	iEO R EO B U N
여러분과	iEO R EO B U N G oA
여행	iEO AE NG
여행을	iEO AE NG EU L
여행인데	iEO AE NG I N D E
역사에	iEO k SS A E
역에	iEO G E
연구자들이	iEO N G U J A D EU R I
열렸네요	iEO L L iEO N N E iO
열심히	iEO L S I M H I
열었어요	iEO R EO SS EO iO
염려가	iEO M N iEO G A
염증	iEO M J EU NG
영상통화를	iEO NG S A NG Th O NG H oA R EU L
영어	iEO NG EO
영역이	iEO NG iEO G I
영위하고자	iEO NG UE A G O J A
예전	iE J EO N
예정이십니까	iE J EO NG I S I M N I GG A
옛날	iE N N A L
오	O
오는	O N EU N
오늘	O N EU L
오늘	O N EU N
오늘	O N EU R
오늘은	O N EU R EU N
오래된	O R AE D OE N
오면	O M iEO N
오세요	O S E iO
오셨어요	O S iEO SS EO iO
오십	O S I B
오십	O S I M
오십	O S I Ph
오십	O S I p
오전	O J EO N
온갖	O N G A t
올라오는	O L L A O N EU N
옷이라고	O S I R A G O
와서	oA S EO
와야	oA iA
왔다	oA t DD A
왔습니다	oA S SS EU M N I D A
왔어요	oA SS EO iO
왜	O AE
외국	OE G U k
요소나	iO S O N A
용돈은	iO NG D O N EU N
우리	U R I
우리가	U R I G A
우리나라	U R I N A R A
우리는	U R I N EU N
운동	U N D O NG
운동은	U N D O NG EU N
운동을	U N D O NG EU L
운동이	U N D O NG I
운동화를	U N D O NG H oA R EU L
웃음소리를	U S EU M S O R I R EU L
원만	uEO N M A N
원망스러웠습니다	uEO N M A NG S EU R EO uEO S SS EU M N I D A
원인이	uEO N I N I
웬	U E N
웬일로	U E N I L L O
위	UE
위해	UE AE
위험한	UE EO M H A N
유치원	iU CHh I uEO N
은행	EU N AE NG
은행이	EU N AE NG I
음료수하고	EU M N iO S U A G O
음식	EU M S I k
음악	EU M A k
의견란에	euI G iEO N N A N E
의견이	euI G iEO N I
의사	euI S A
의사소통	euI S A S O Th O NG
의사소통을	euI S A S O Th O NG EU L
의사소통이란	euI S A S O Th O NG I R A N
의사소통이야말로	euI S A S O Th O NG I iA M A L L O
의자	euI J A
이	I
이거	I G EO
이것	I G EO t
이게	I G E
이따	I DD A
이런	I R EO N
이렇게	I R EO Kh E
이른	I R EU N
이름이	I R EU M I
이번엔	I B EO N E N
이야기	I iA G I
이어나가는	I EO N A G A N EU N
이의	I euI
이해	I AE
이해하기	I AE A G I
이해해야	I AE AE iA
인간이	I N G A N I
인류	I N N iU
인정된	I N J EO NG D OE N
일	I L
일	I N
일	I R
일곱	I L G O p
일본	I L B O N
일어나서	I R EO N A S EO
일요일이	I R iO I R I
일은	I R EU N
일을	I R EU L
일을	I R EU R
일이	I R I
일이라면	I R I R A M iEO N
일찍	I L JJ I k
읽기	I k GG I
입	I B
입	I M
입	I Ph
입	I p
입고	I p GG O
입구	I p GG U
있거나	I t GG EO N A
있게	I t GG E
있구나	I t GG U N A
있기	I t GG I
있는	I N N EU N
있다	I t D A
있다	I t DD A
있더라도	I t DD EO R A D O
있도록	I t DD O R O k
있어서	I SS EO S EO
있어요	I SS EO iO
있었어요	I SS EO SS EO iO
있으면	I SS EU M iEO N
있으시면	I S EU S I M iEO N
있으시면	I SS EU S I M iEO N
있을	I SS EU L
자리	J A R I
자신을	J A S I N EU L
자신의	J A S I N euI
자연스럽게	J A iEO N S EU R EO p GG E
자주	J A J U
자주색	J A J U S AE k
자칫	J A CHh I Th
자칫	J A CHh I t
작년	J A NG N iEO N
잔잔해졌습니다	J A N J A N AE J iEO S SS EU M N I D A
잘	J A L
잘	J A R
잘못되었다고	J A L M O t DD OE EO t DD A G O
재미있을	J AE M I I SS EU L
저녁	J EO N iEO NG
저녁	J EO N iEO k
저녁에는	J EO N iEO G E N EU N
저는	J EO N EU N
저렇게	J EO R EO Kh E
저희	J EO euI
적합한	J EO Kh A Ph A N
전	J EO N
전달하는	J EO N D A R H A N EU N
전부터	J EO N B U Th EO
전에	J EO N E
전자는	J EO N J A N EU N
전통을	J EO N Th O NG EU L
전할	J EO N A L
전화할게	J EO N oA A L G E
절대로	J EO L D AE R O
젊고	J EO L M G O
젊은	J EO L M EU N
점	J EO M
접수	J EO p SS U
젓가락	J EO t GG A R A k
정도로	J EO NG D O R O
정리한	J EO NG N I A N
정말	J EO NG M A L
정보를	J EO NG B O R EU L
정하고	J EO NG H A G O
정확하게	J EO NG H oA Kh A G E
제가	J E G A
조금	J O G EU M
조금이지	J O G EU M I J I
조사	J O S A
좀	J O M
종로	J O NG N O
좋겠네요	J O Kh E N N E iO
좋겠어요	J O Kh E SS EO iO
좋다	J O Th A
좋던데요	J O Th EO N D E iO
좋습니다	J O SS EU M N I D A
좋아요	J O A iO
좋아하며	J O A A M iEO
좋아하세요	J O A A S E iO
좋아한다	J O A A N D A
좋은	J O EU N
좋은데	J O EU N D E
좋을까요	J O EU L GG A iO
좋지	J O CHh I
좌석	J oA S EO NG
좌석	J oA S EO k
죄송하지만	J OE S O NG H A J I M A N
죄송해서	J OE S O NG H AE S EO
주고받거나	J U G O B A t GG EO N A
주말에	J U M A R E
주세요	J U S E iO
주시겠어요	J U S I G E SS EO iO
주시기	J U S I G I
주시면	J U S I M iEO N
주시지	J U S I J I
주신	J U S I N
주장하고	J U J A NG H A G O
준비를	J U N B I R EU L
준비한	J U N B I A N
줄	J U L
줄넘기	J U N N EO M G I
줄리앙이라고	J U L L I A NG I R A G O
중국	J U NG G U k
중병에	J U NG B iEO NG E
중에서	J U NG E S EO
중요하고	J U NG iO A G O
중요한	J U NG iO A N
중요할까	J U NG iO A L GG A
즐겁네요	J EU L G EO M N E iO
즐겁네요	J EU L G EO p N E iO
즐긴다	J EU L G I N D A
증상을	J EU NG S A NG EU L
증상을	J EU NG S A NG EU R
지갑이	J I G A B I
지금	J I G EU M
지나갈	J I N A G A L
지나고	J I N A G O
지나쳐도	J I N A CHh iEO D O
지나친	J I N A CHh I N
지난여름	J I N A N iEO R EU M
지키기	J I Kh I G I
지하철	J I A CHh EO L
지하철역까지	J I A CHh EO R iEO k GG A J I
직장에	J I k JJ A NG E
직장이	J I k JJ A NG I
직접	J I k JJ EO p
진정한	J I N J EO NG H A N
진짜	J I N JJ A
질문	J I L M U N
집에	J I B E
집에도	J I B E D O
집에서	J I B E S EO
집집마다	J I p JJ I M M A D A
짓누르다	J I N N U R EU D A
짓이다	J I S I D A
짜고	JJ A G O
짜요	J A iO
짜요	JJ A iO
찌다	J I D A
찌다	JJ I D A
찍어야	JJ I G EO iA
찍으면	JJ I G EU M iEO N
차	CHh A
차이점을	CHh A I J EO M EU L
차이점이	CHh A I J EO M I
참	CHh A M
창문이	CHh A NG M U N I
찾아주셔서	CHh A J A J U S iEO S EO
채소	CHh AE S O
책	CHh AE G
책	CHh AE Kh
책	CHh AE NG
책	CHh AE k
책임이야	CHh AE G I M I iA
처하게	CHh EO A G E
첫날	CHh EO N N A L
청취자의	CHh EO NG CHh UE J A euI
체계화하여	CHh E G iE oA A iEO
최근에는	CHh OE G EU N E N EU N
취미인	CHh UE M I I N
친구	CHh I N G U
친구도	CHh I N G U D O
친구와	CHh I N G U oA
침대	CHh I M D AE
커피	Kh EO Ph I
켤레	Kh iEO L L E
키	Kh I
타고	Th A G O
타요	Th A iO
태풍이	Th AE Ph U NG I
텐데요	Th E N D E iO
통화를	Th O NG H oA R EU L
퇴근	Th OE G EU N
퇴근시간이라서	Th OE G EU N S I G A N I R A S EO
퇴근하지	Th OE G EU N A J I
특별한	Th EU k BB iEO R H A N
특성에	Th EU k SS EO NG E
특히	Th EU Kh I
파도	Ph A D O
파악하는	Ph A A Kh A N EU N
파악하지	Ph A A Kh A J I
팔팔	Ph A L Ph A L
편지	Ph iEO N J I
편한	Ph iEO N A N
포함돼요	Ph O A M D O AE iO
폭발	Ph O k BB A L
표현	Ph iO iEO N
풀	Ph U L
풀어서	Ph U R EO S EO
프랑스에서	Ph EU R A NG S EU E S EO
피아노	Ph I A N O
필요하다	Ph I R iO A D A
하겠어요	A G E SS EO iO
하나의	H A N A euI
하는	A N EU N
하는	H A N EU N
하늘은	H A N EU R EU N
하늘을	H A N EU R EU L
하늘이	H A N EU R I
하라고	A R A G O
하라고	H A R A G O
하려면	A R iEO M iEO N
하려면	H A R iEO M iEO N
하루가	H A R U G A
하루만	H A R U M A N
하셨어요	H A S iEO SS EO iO
하실	H A S I L
하실	H A S I N
하실	H A S I R
하지	A J I
하지	H A J I
학교까지	H A k GG iO GG A J I
학교에	H A k GG iO E
학자의	H A k JJ A euI
한	A N
한	H A N
한국	A N G U G
한국말을	H A N G U NG M A R EU L
한국어	A N G U G EO
한국어	H A N G U G EO
한국어도	A N G U G EO D O
한국어도	H A N G U G EO D O
한국어를	A N G U G EO R EU L
한국어를	H A N G U G EO R EU L
한국의	A N G U G euI
한국의	H A N G U G euI
한다	A N D A
한다	H A N D A
한다면	A N D A M iEO N
한다면	H A N D A M iEO N
한번	H A N B EO N
한참이나	H A N CHh A M I N A
함께	H A M GG E
합니다	A M N I D A
합니다	H A M N I D A
합법적으로	H A p BB EO p JJ EO G EU R O
항상	H A NG S A NG
해	AE
해	H AE
해결을	H AE G iEO R EU L
해도	H AE D O
해돋이	H AE D O D I
해야	H AE iA
해야겠다	H AE iA G E t DD A
핵심이	H AE k SS I M I
했구나	H AE t GG U N A
했는지	H AE N N EU N J I
했습니다	H AE S SS EU M N I D A
행위다	H AE NG UE D A
향기로운	H iA NG G I R O U N
향상	H iA NG S A NG
허리	H EO R I
혼자	H O N J A
화가	H oA G A
화가	oA G A
환자라고	H oA N J A R A G O
회의	H OE euI
회의	OE euI
효과를	H iO G oA R EU L
후자는	H U J A N EU N
후추	H U CHh U
흐르는	H EU R EU N EU N
흔들다	H EU N D EU L D A
흙	EU L G
흙	EU k
흙	H EU L G
흙	H EU NG
흙	H EU k
흙마루	H EU NG M A R U
희끗희끗한	H euI GG EU Th euI GG EU Th A N
희끗희끗한	euI GG EU Th euI GG EU Th A N
희망	H euI M A NG
힘든	H I M D EU N
힘들	H I M D EU L
힘들었어요	H I M D EU R EO SS EO iO
